time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),weathercode (wmo code),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h)
1999-01-01T00:00,-4.6,56,-12.1,-9.0,0.00,0.00,0.00,1,20,6.9,242,18.4
1999-01-01T01:00,-5.0,58,-11.9,-9.4,0.00,0.00,0.00,0,10,7.4,241,18.4
1999-01-01T02:00,-5.3,61,-11.6,-9.9,0.00,0.00,0.00,0,11,8.4,239,18.7
1999-01-01T03:00,-5.5,63,-11.4,-10.1,0.00,0.00,0.00,0,4,8.6,237,18.7
1999-01-01T04:00,-5.7,65,-11.2,-10.3,0.00,0.00,0.00,0,0,9.0,233,19.4
1999-01-01T05:00,-5.9,67,-11.0,-10.7,0.00,0.00,0.00,0,2,10.0,232,20.5
1999-01-01T06:00,-5.9,67,-11.0,-10.8,0.00,0.00,0.00,1,23,10.8,233,22.3
1999-01-01T07:00,-6.3,63,-12.1,-11.3,0.00,0.00,0.00,0,19,10.9,236,25.2
1999-01-01T08:00,-6.4,65,-12.0,-11.5,0.00,0.00,0.00,0,16,11.3,239,24.1
1999-01-01T09:00,-6.5,66,-11.9,-11.6,0.00,0.00,0.00,0,8,12.1,243,24.8
1999-01-01T10:00,-6.5,65,-12.0,-11.8,0.00,0.00,0.00,0,0,13.6,253,26.3
1999-01-01T11:00,-6.5,65,-11.9,-11.9,0.00,0.00,0.00,0,0,13.7,256,27.7
1999-01-01T12:00,-6.4,65,-11.9,-11.9,0.00,0.00,0.00,0,0,15.0,260,29.9
1999-01-01T13:00,-6.1,63,-12.0,-11.9,0.00,0.00,0.00,0,0,16.6,265,32.0
1999-01-01T14:00,-4.9,57,-12.1,-10.9,0.00,0.00,0.00,0,0,17.7,266,35.3
1999-01-01T15:00,-3.8,47,-13.5,-10.7,0.00,0.00,0.00,0,14,23.4,271,44.3
1999-01-01T16:00,-3.0,38,-15.3,-10.3,0.00,0.00,0.00,3,100,25.8,283,50.4
1999-01-01T17:00,-2.4,34,-16.1,-9.8,0.00,0.00,0.00,3,100,25.4,286,48.6
1999-01-01T18:00,-2.1,31,-16.9,-9.4,0.00,0.00,0.00,2,72,25.4,291,48.6
1999-01-01T19:00,-2.2,29,-18.0,-9.6,0.00,0.00,0.00,2,60,25.1,297,49.7
1999-01-01T20:00,-2.7,29,-18.5,-9.9,0.00,0.00,0.00,2,66,23.8,305,48.6
1999-01-01T21:00,-3.6,31,-18.3,-10.5,0.00,0.00,0.00,3,88,21.4,314,45.4
1999-01-01T22:00,-5.0,34,-18.4,-11.5,0.00,0.00,0.00,0,4,18.6,319,40.7
1999-01-01T23:00,-6.3,36,-18.9,-12.7,0.00,0.00,0.00,0,0,18.1,325,39.2
1999-01-02T00:00,-7.3,37,-19.6,-13.7,0.00,0.00,0.00,0,0,18.2,322,40.0
1999-01-02T01:00,-8.3,37,-20.4,-15.0,0.00,0.00,0.00,0,0,19.6,324,41.4
1999-01-02T02:00,-9.3,38,-21.0,-16.0,0.00,0.00,0.00,0,0,19.7,325,41.4
1999-01-02T03:00,-10.3,39,-21.5,-17.0,0.00,0.00,0.00,0,0,19.7,329,40.0
1999-01-02T04:00,-10.9,41,-21.6,-17.5,0.00,0.00,0.00,0,0,18.4,332,37.1
1999-01-02T05:00,-11.5,43,-21.5,-17.8,0.00,0.00,0.00,0,0,17.1,335,35.3
1999-01-02T06:00,-11.8,45,-21.4,-17.9,0.00,0.00,0.00,0,0,15.8,339,30.2
1999-01-02T07:00,-11.7,46,-21.1,-17.3,0.00,0.00,0.00,0,0,12.2,341,29.5
1999-01-02T08:00,-11.8,46,-21.0,-16.9,0.00,0.00,0.00,0,0,8.7,330,25.2
1999-01-02T09:00,-11.8,46,-21.0,-16.7,0.00,0.00,0.00,0,0,7.1,311,18.7
1999-01-02T10:00,-11.8,47,-20.9,-16.7,0.00,0.00,0.00,0,0,7.7,323,16.9
1999-01-02T11:00,-11.7,47,-20.8,-16.3,0.00,0.00,0.00,0,1,5.4,318,15.5
1999-01-02T12:00,-11.6,47,-20.6,-16.1,0.00,0.00,0.00,0,5,4.7,302,15.8
1999-01-02T13:00,-11.3,47,-20.5,-15.9,0.00,0.00,0.00,0,1,5.2,295,15.5
1999-01-02T14:00,-10.4,43,-20.5,-15.1,0.00,0.00,0.00,1,23,6.4,308,17.6
1999-01-02T15:00,-9.1,39,-20.6,-13.7,0.00,0.00,0.00,0,18,5.4,318,18.0
1999-01-02T16:00,-7.7,35,-20.7,-12.5,0.00,0.00,0.00,2,54,6.4,297,18.4
1999-01-02T17:00,-6.7,32,-20.7,-11.4,0.00,0.00,0.00,3,89,5.7,288,18.7
1999-01-02T18:00,-6.1,31,-20.6,-10.9,0.00,0.00,0.00,3,85,6.6,283,18.0
1999-01-02T19:00,-6.3,33,-19.8,-10.6,0.00,0.00,0.00,2,62,3.6,270,16.2
1999-01-02T20:00,-6.0,34,-19.4,-9.9,0.00,0.00,0.00,2,52,0.7,270,11.9
1999-01-02T21:00,-6.0,34,-19.4,-10.0,0.00,0.00,0.00,2,68,1.8,90,9.7
1999-01-02T22:00,-6.0,35,-19.1,-10.3,0.00,0.00,0.00,2,66,3.6,96,10.8
1999-01-02T23:00,-6.0,37,-18.5,-10.6,0.00,0.00,0.00,1,38,5.9,104,14.4
